article,slug,url,folder,py,ipynb,has_py,has_ipynb,status,notes
foundry vs snowflake dbt databricks,foundry-vs-snowflake-dbt-databricks,https://sheepdogprosperitypartners.com/foundry-vs-snowflake-dbt-databricks/,,,,no,no,excluded_from_worked_example_scope,architecture or platform-comparison article; excluded from worked-example duality rule
osint for financial fraud,osint-for-financial-fraud,https://sheepdogprosperitypartners.com/osint-for-financial-fraud/,,,,no,no,excluded_from_worked_example_scope,published DD Tech Lab page reviewed for scope; no canonical worked-example companion required in this remediation wave
ontology beneficial ownership networks,ontology-beneficial-ownership-networks,https://sheepdogprosperitypartners.com/ontology-beneficial-ownership-networks/,,,,no,no,excluded_from_worked_example_scope,graph-method article with illustrative code or query text; no standalone repo companion in current GOAL scope
time series counterparty risk trajectories,time-series-counterparty-risk-trajectories,https://sheepdogprosperitypartners.com/time-series-counterparty-risk-trajectories/,,,,no,no,excluded_from_worked_example_scope,published DD Tech Lab page reviewed for scope; no canonical worked-example companion required in this remediation wave
quiver ad hoc counterparty queries,quiver-ad-hoc-counterparty-queries,https://sheepdogprosperitypartners.com/quiver-ad-hoc-counterparty-queries/,,,,no,no,excluded_from_worked_example_scope,published DD Tech Lab page reviewed for scope; no canonical worked-example companion required in this remediation wave
markov mixture models round tripping lapping,markov-mixture-models-round-tripping-lapping,https://sheepdogprosperitypartners.com/markov-mixture-models-round-tripping-lapping/,stochastic_markov,stochastic_markov/004_mixture_round_tripping.py,stochastic_markov/004_mixture_round_tripping.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
code repositories python pyspark,code-repositories-python-pyspark,https://sheepdogprosperitypartners.com/code-repositories-python-pyspark/,,,,no,no,excluded_from_worked_example_scope,architecture or platform-comparison article; excluded from worked-example duality rule
actions framework audit trail discipline,actions-framework-audit-trail-discipline,https://sheepdogprosperitypartners.com/actions-framework-audit-trail-discipline/,,,,no,no,excluded_from_worked_example_scope,published DD Tech Lab page reviewed for scope; no canonical worked-example companion required in this remediation wave
geospatial address mapping,geospatial-address-mapping,https://sheepdogprosperitypartners.com/geospatial-address-mapping/,,,,no,no,excluded_from_worked_example_scope,published DD Tech Lab page reviewed for scope; no canonical worked-example companion required in this remediation wave
aip adverse media summarization,aip-adverse-media-summarization,https://sheepdogprosperitypartners.com/aip-adverse-media-summarization/,,,,no,no,excluded_from_worked_example_scope,published DD Tech Lab page reviewed for scope; no canonical worked-example companion required in this remediation wave
workshop application patterns investigators,workshop-application-patterns-investigators,https://sheepdogprosperitypartners.com/workshop-application-patterns-investigators/,,,,no,no,excluded_from_worked_example_scope,published DD Tech Lab page reviewed for scope; no canonical worked-example companion required in this remediation wave
pipeline builder dd data ingestion,pipeline-builder-dd-data-ingestion,https://sheepdogprosperitypartners.com/pipeline-builder-dd-data-ingestion/,,,,no,no,excluded_from_worked_example_scope,published DD Tech Lab page reviewed for scope; no canonical worked-example companion required in this remediation wave
hidden markov models earnings management regime detection,hidden-markov-models-earnings-management-regime-detection,https://sheepdogprosperitypartners.com/hidden-markov-models-earnings-management-regime-detection/,stochastic_markov,stochastic_markov/003_hidden_markov_earnings_management.py,stochastic_markov/003_hidden_markov_earnings_management.ipynb,yes,yes,complete,paired artifacts exist and execute; article alignment patch prepared at output/MARKOV_003_005_ARTICLE_ALIGNMENT.md
foundry ontology design counterparty risk,foundry-ontology-design-counterparty-risk,https://sheepdogprosperitypartners.com/foundry-ontology-design-counterparty-risk/,,,,no,no,excluded_from_worked_example_scope,architecture or platform-comparison article; excluded from worked-example duality rule
sanctions screening sdn knowledge graph,sanctions-screening-sdn-knowledge-graph,https://sheepdogprosperitypartners.com/sanctions-screening-sdn-knowledge-graph/,,,,no,no,excluded_from_worked_example_scope,graph-method article with illustrative code or query text; no standalone repo companion in current GOAL scope
linear regression outlier detection,linear-regression-outlier-detection,https://sheepdogprosperitypartners.com/linear-regression-outlier-detection/,,,,no,no,excluded_from_worked_example_scope,published DD Tech Lab page reviewed for scope; no canonical worked-example companion required in this remediation wave
cypher patterns transaction graph anomaly detection,cypher-patterns-transaction-graph-anomaly-detection,https://sheepdogprosperitypartners.com/cypher-patterns-transaction-graph-anomaly-detection/,,,,no,no,excluded_from_worked_example_scope,graph-method article with illustrative code or query text; no standalone repo companion in current GOAL scope
from beneficial ownership lists to cypher,from-beneficial-ownership-lists-to-cypher,https://sheepdogprosperitypartners.com/from-beneficial-ownership-lists-to-cypher/,,,,no,no,excluded_from_worked_example_scope,graph-method article with illustrative code or query text; no standalone repo companion in current GOAL scope
modeling journal entry sequences in production,modeling-journal-entry-sequences-in-production,https://sheepdogprosperitypartners.com/modeling-journal-entry-sequences-in-production/,stochastic_markov,stochastic_markov/002_journal_entry_production.py,stochastic_markov/002_journal_entry_production.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
same same different in excel,same-same-different-in-excel,https://sheepdogprosperitypartners.com/same-same-different-in-excel/,,,,no,no,excluded_from_worked_example_scope,Excel article; outside Python notebook duality rule
why markov chains belong in financial statement audit,why-markov-chains-belong-in-financial-statement-audit,https://sheepdogprosperitypartners.com/why-markov-chains-belong-in-financial-statement-audit/,stochastic_markov,stochastic_markov/001_markov_intro.py,stochastic_markov/001_markov_intro.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
benfords law in excel,benfords-law-in-excel,https://sheepdogprosperitypartners.com/benfords-law-in-excel/,,,,no,no,excluded_from_worked_example_scope,Excel article; outside Python notebook duality rule
divestiture vs forfeiture anatomy,divestiture-vs-forfeiture-anatomy,https://sheepdogprosperitypartners.com/divestiture-vs-forfeiture-anatomy/,national_security_diligence/notebooks,national_security_diligence/notebooks/D3_remedy_comparison_timeline.py,national_security_diligence/notebooks/D3_remedy_comparison_timeline.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
national security diligence workflow,national-security-diligence-workflow,https://sheepdogprosperitypartners.com/national-security-diligence-workflow/,national_security_diligence/notebooks,national_security_diligence/notebooks/D1_integrated_workflow.py,national_security_diligence/notebooks/D1_integrated_workflow.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
whistleblower bounty national security,whistleblower-bounty-national-security,https://sheepdogprosperitypartners.com/whistleblower-bounty-national-security/,national_security_diligence/notebooks,national_security_diligence/notebooks/C3_bounty_program_matrix.py,national_security_diligence/notebooks/C3_bounty_program_matrix.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
asset seizure forfeiture enforcement spine,asset-seizure-forfeiture-enforcement-spine,https://sheepdogprosperitypartners.com/asset-seizure-forfeiture-enforcement-spine/,national_security_diligence/notebooks,national_security_diligence/notebooks/C2_forfeiture_timeline_builder.py,national_security_diligence/notebooks/C2_forfeiture_timeline_builder.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
Beyond Benford forensic numeric techniques,beyond-benford-forensic-numeric-techniques,pending publication,forensic_numeric_techniques,forensic_numeric_techniques/beyond-benford-fraud-detection-techniques.py,forensic_numeric_techniques/beyond-benford-fraud-detection-techniques.ipynb,yes,yes,complete_local_pending_publication,local draft companion added because the notebook existed without a script
Cross Border Open Source Diligence Atlas,cross-border-open-source-diligence-atlas,pending publication,cross_border_diligence_atlas/notebooks,cross_border_diligence_atlas/notebooks/*.py,cross_border_diligence_atlas/notebooks/*.ipynb,yes,yes,complete,"five paired synthetic atlas examples added under the canonical repo; public or synthetic data only; outputs are leads, not findings"
Gold watch chart builders,gold-watch-chart-builders,not DD Tech Lab index,,local article asset tooling,,local_asset_tooling,no,excluded_chart_asset_tooling,"chart and HTML builders classified as article asset tooling, not worked-example companions"
SNAP chart builders,snap-chart-builders,not DD Tech Lab index,,local article asset tooling,,local_asset_tooling,no,excluded_chart_asset_tooling,"chart builders classified as article asset tooling, not worked-example companions"
